date,transaction_id,description,category,amount,vendor,payment_method
2023-01-03,TX200001,Food inventory purchase - Produce,Food Inventory,1420.75,FreshFarms Suppliers,Bank Transfer
2023-01-05,TX200002,Food inventory purchase - Meat,Food Inventory,2850.50,Quality Meats Inc.,Bank Transfer
2023-01-07,TX200003,Beverage inventory purchase,Beverage Inventory,1875.25,Beverage Wholesale Co.,Bank Transfer
2023-01-08,TX200004,Restaurant POS system monthly fee,Technology,149.99,DineTech Solutions,Credit Card
2023-01-10,TX200005,Restaurant rental fee,Rent,3200.00,Downtown Properties,Bank Transfer
2023-01-12,TX200006,Staff wages - Kitchen staff,Payroll,6500.00,Staff Payroll,Bank Transfer
2023-01-12,TX200007,Staff wages - Wait staff,Payroll,4800.00,Staff Payroll,Bank Transfer
2023-01-15,TX200008,Dinner service sales,Food Sales,3450.80,Various Customers,Mixed
2023-01-15,TX200009,Beverage sales,Beverage Sales,1250.40,Various Customers,Mixed
2023-01-16,TX200010,Lunch service sales,Food Sales,2180.60,Various Customers,Mixed
2023-01-16,TX200011,Beverage sales,Beverage Sales,850.25,Various Customers,Mixed
2023-01-17,TX200012,Kitchen equipment repair,Maintenance,325.00,RestaurantFix Services,Credit Card
2023-01-18,TX200013,Cleaning supplies purchase,Supplies,275.50,CleanSupply Co.,Credit Card
2023-01-20,TX200014,Food inventory purchase - Seafood,Food Inventory,1750.25,Ocean Catch Suppliers,Bank Transfer
2023-01-22,TX200015,Dinner service sales,Food Sales,3780.45,Various Customers,Mixed
2023-01-22,TX200016,Beverage sales,Beverage Sales,1480.30,Various Customers,Mixed
2023-01-23,TX200017,Lunch service sales,Food Sales,2340.75,Various Customers,Mixed
2023-01-23,TX200018,Beverage sales,Beverage Sales,920.50,Various Customers,Mixed
2023-01-25,TX200019,Restaurant insurance premium,Insurance,650.00,FoodService Insurance,Bank Transfer
2023-01-27,TX200020,Utility bills - Electricity & Gas,Utilities,875.45,EnergySupply Corp,Direct Debit
2023-01-28,TX200021,Food delivery platform commission,Delivery Service,320.50,UberEats,Direct Debit
2023-01-28,TX200022,Food delivery platform commission,Delivery Service,275.60,DoorDash,Direct Debit
2023-01-29,TX200023,Dinner service sales,Food Sales,3950.75,Various Customers,Mixed
2023-01-29,TX200024,Beverage sales,Beverage Sales,1650.25,Various Customers,Mixed
2023-01-30,TX200025,Lunch service sales,Food Sales,2580.40,Various Customers,Mixed
2023-01-30,TX200026,Beverage sales,Beverage Sales,980.35,Various Customers,Mixed
2023-01-31,TX200027,Staff wages - Kitchen staff,Payroll,6500.00,Staff Payroll,Bank Transfer
2023-01-31,TX200028,Staff wages - Wait staff,Payroll,4800.00,Staff Payroll,Bank Transfer
2023-02-01,TX200029,Food inventory purchase - Produce,Food Inventory,1350.80,FreshFarms Suppliers,Bank Transfer
2023-02-03,TX200030,Food inventory purchase - Meat,Food Inventory,2750.45,Quality Meats Inc.,Bank Transfer
2023-02-05,TX200031,Beverage inventory purchase,Beverage Inventory,1950.70,Beverage Wholesale Co.,Bank Transfer
2023-02-06,TX200032,Menu printing costs,Marketing,180.50,PrintPro Services,Credit Card
2023-02-08,TX200033,Restaurant rental fee,Rent,3200.00,Downtown Properties,Bank Transfer
2023-02-10,TX200034,Local advertising - Newspaper,Marketing,250.00,Daily Chronicle,Credit Card
2023-02-12,TX200035,Professional kitchen cleaning,Maintenance,420.00,RestaurantClean Pros,Credit Card
2023-02-14,TX200036,Valentine's Day special event,Event,4850.75,Various Customers,Mixed
2023-02-15,TX200037,Staff wages - Kitchen staff,Payroll,6500.00,Staff Payroll,Bank Transfer
2023-02-15,TX200038,Staff wages - Wait staff,Payroll,4800.00,Staff Payroll,Bank Transfer 
